id,model_name,brand_id,year
1,TOYOTA VIOS,1,null
2,COROLLA,1,null
3,FORTUNER,1,null
4,INNOVA,1,null
5,CAMRY,1,null
6,HYUNDAI ACCENT,2,2013
7,ELANTRA,2,2012
8,SANTA FE,2,2013
9,MAZDA 2,3,2012
10,MAZDA 3 SPORT,3,2013
11,CX-5,3,2013
12,CX-9,3,2013
13,CHEVROLET CAPTIVA,4,2013
14,CRUZE LT,4,2013
15,KIA SORENTO,5,2013
16,HONDA CIVIC,6,2011
17,CR-V,6,2011
18,MITSUBISHI OUTLANDER,7,2013
